merchant_id,总交易次数,总金额,欺诈次数,可疑次数,唯一商户,唯一地区,唯一设备,欺诈率,风险等级,平均间隔小时,最小间隔分钟,最大交易间隔,间隔变异系数,金额波动率
M971084,50,29074.7,3,3,1,10,48,0.06,高,71.46721088435375,89.18333333333334,293.9941666666667,0.9146700811162184,2.0656995453012224
M110644,58,24866.7,2,0,1,10,54,0.034482758620689655,中,60.692212475633525,38.1,199.84,0.8751746644621541,1.6552174539861626
M355709,51,23400.69,2,0,1,10,48,0.0392156862745098,中,68.40113333333333,64.03333333333333,251.72194444444443,0.9330206806407257,2.8517072338544325
M300337,41,18455.73,2,0,1,10,39,0.04878048780487805,中,88.66953472222221,48.05,547.5263888888888,1.136253220773653,3.1642503456596978
M497399,38,29042.06,2,2,1,9,35,0.05263157894736842,高,90.30091591591592,441.8,271.54055555555556,0.8119738798486416,1.783860998213919
M782054,41,22449.21,2,0,1,10,38,0.04878048780487805,中,88.29390972222222,0.06666666666666667,394.8883333333333,1.1544883171173559,2.6524883892055233
M912270,52,21195.59,2,1,1,10,47,0.038461538461538464,中,69.04947167755991,28.016666666666666,337.24444444444447,1.0843957982949508,4.922198914713616
M855053,56,38243.49,2,1,1,10,56,0.03571428571428571,中,64.81204545454545,4.616666666666666,490.06444444444446,1.3104037257123653,3.937962312089773
M682144,54,43850.42,2,0,1,10,53,0.037037037037037035,中,67.25881027253669,2.233333333333333,240.55416666666667,0.9291504545836375,2.2738608030083935
M392477,45,18585.53,2,1,1,10,41,0.044444444444444446,中,79.06945075757575,154.0,334.8727777777778,0.8830319237995782,1.9565787516322928
M587282,47,33797.18,2,0,1,10,45,0.0425531914893617,中,76.86138285024154,60.4,460.2558333333333,1.257525616047353,4.236636290519342
M190872,47,30358.420000000002,1,0,1,10,42,0.02127659574468085,中,76.48265096618357,190.4,242.10694444444445,0.8308755768832016,3.5657577489045518
M556732,52,26625.3,1,0,1,10,50,0.019230769230769232,中,70.38237472766885,44.56666666666666,373.665,1.0802615723440807,1.9199850969213135
M572700,44,21003.63,1,2,1,10,42,0.022727272727272728,中,80.23368217054264,0.21666666666666665,273.4269444444444,0.9859695052528371,1.7084132793312303
M452737,57,22655.04,1,3,1,10,54,0.017543859649122806,中,60.571284722222224,29.016666666666666,417.11694444444447,1.2933365051814913,1.7996016937327108
M383201,57,27377.53,1,1,1,10,54,0.017543859649122806,中,63.96057043650794,202.29999999999998,253.3025,0.9632129653692371,4.232762806067139
M841666,60,32942.65,1,0,1,10,56,0.016666666666666666,中,60.40347928436911,78.55,243.16194444444446,0.9203800261065368,4.605072571288913
M992288,55,22313.75,1,1,1,10,52,0.01818181818181818,中,65.06059156378602,71.06666666666666,320.2275,1.1123620656895956,2.19570893650958
M725113,55,31874.24,1,0,1,10,53,0.01818181818181818,中,65.21768004115226,19.23333333333333,268.8441666666667,0.8434979987737175,1.8851491428136258
M739979,67,35092.3,1,0,1,10,63,0.014925373134328358,中,53.314423400673405,63.0,217.98194444444445,0.9319768501730513,2.1074514326923355
M606983,42,28555.03,1,0,1,10,40,0.023809523809523808,中,84.11694444444444,227.76666666666668,409.2061111111111,0.9601417937898002,2.0035325530155004
M647091,51,18642.81,1,1,1,10,50,0.0196078431372549,中,70.26571666666666,87.01666666666667,334.7863888888889,0.9584806774646959,1.5784589106745182
M353080,54,17356.17,1,0,1,10,47,0.018518518518518517,中,65.74081236897275,4.833333333333334,285.0441666666667,0.8728652074467167,1.7597070528850771
M437960,45,23374.34,1,2,1,10,44,0.022222222222222223,中,80.0850505050505,396.3833333333333,335.49583333333334,0.9047675838502182,1.421644647710557
M370902,52,20567.73,1,1,1,10,47,0.019230769230769232,中,68.64265250544662,38.5,334.45416666666665,0.9665404723832284,1.4288360442720232
