province,总交易次数,总金额,欺诈次数,可疑次数,唯一商户,唯一地区,唯一设备,欺诈率,风险等级,平均间隔小时,最小间隔分钟,最大交易间隔,间隔变异系数,金额波动率
广东省,323,178771.98,6,6,60,1,219,0.018575851393188854,中,11.177492236024845,0.13333333333333333,70.64222222222222,0.9647732082913437,2.360047917827141
山东省,287,162180.56,6,6,59,1,200,0.020905923344947737,中,12.446641414141414,0.18333333333333335,71.83583333333333,1.0127727921189813,2.4510257214167575
江苏省,307,163436.97,6,2,59,1,216,0.019543973941368076,中,11.836240922294843,3.35,121.14222222222222,1.1754270607645243,2.671787252670507
河南省,302,163874.87,6,6,60,1,202,0.019867549668874173,中,12.030355297157623,8.916666666666666,88.67388888888888,0.9662243561850148,3.226638942945497
四川省,282,152392.86,5,5,60,1,201,0.01773049645390071,中,12.848927441676553,0.03333333333333333,92.16888888888889,1.0746654755572598,3.024338479362845
湖北省,321,159106.92,5,7,60,1,220,0.01557632398753894,中,11.217243923611111,2.1166666666666667,64.31555555555556,0.9774046228726917,2.1913439049446786
浙江省,296,144955.29,4,8,60,1,211,0.013513513513513514,中,12.282671374764595,1.7,76.66972222222222,0.9979667759954504,2.9889271064362353
上海市,289,128852.89,4,9,59,1,194,0.01384083044982699,中,12.567166280864198,1.0166666666666668,79.20694444444445,0.9817867847761103,2.193163890030456
北京市,311,151874.71,3,8,60,1,217,0.00964630225080386,低,11.65019623655914,0.3,86.67222222222222,1.1384383172521033,2.7638115249188884
福建省,282,154713.71,3,7,60,1,194,0.010638297872340425,中,12.856386911822856,2.05,63.96055555555556,0.9102311735206566,1.7317842053020964
