city,总交易次数,总金额,欺诈次数,可疑次数,唯一商户,唯一地区,唯一设备,欺诈率,风险等级,平均间隔小时,最小间隔分钟,最大交易间隔,间隔变异系数,金额波动率
上海,314,167500.38,8,8,59,10,208,0.025477707006369428,中,9.575079872204473,60.0,50.0,0.9008264335203497,3.770750111172363
深圳,302,160455.57,7,14,59,10,206,0.023178807947019868,中,10.039867109634551,60.0,61.0,0.9876190276069902,2.0715885779686345
青岛,323,146645.37,6,8,60,10,209,0.018575851393188854,中,9.354037267080745,60.0,45.0,0.8906405619996914,2.9749667192626075
成都,288,162753.98,5,7,59,10,196,0.017361111111111112,中,10.505226480836237,60.0,57.0,0.9287214475843197,4.48181550077169
郑州,313,205811.98,4,7,60,10,214,0.012779552715654952,中,9.701923076923077,60.0,51.0,0.9327974575550037,2.2226600217355976
武汉,293,126513.76,4,3,59,10,202,0.013651877133105802,中,10.321917808219178,60.0,62.0,0.9141650934740237,3.380210426780297
杭州,289,141465.88,2,7,59,10,199,0.006920415224913495,低,10.493055555555555,60.0,102.0,1.08277789735531,2.7674087624680586
北京,310,156941.13999999998,1,9,60,10,210,0.0032258064516129032,低,9.754045307443366,60.0,54.0,0.9657265834507411,2.6703934913318648
南京,269,140328.78,1,4,59,10,190,0.0037174721189591076,低,11.119402985074627,60.0,59.0,0.8830505250451277,2.740831513881158
广州,299,151743.92,1,6,60,10,208,0.0033444816053511705,低,10.080536912751677,60.0,58.0,0.9517829030178376,2.633346620294588
