mcc,总交易次数,总金额,欺诈次数,可疑次数,唯一商户,唯一地区,唯一设备,欺诈率,风险等级,平均间隔小时,最小间隔分钟,最大交易间隔,间隔变异系数,金额波动率
5311,340,168837.16,6,6,60,10,233,0.01764705882352941,中,8.88495575221239,60.0,49.0,0.9166618474756741,2.317369377190929
4511,314,181959.85,5,7,60,10,205,0.01592356687898089,中,9.616613418530351,60.0,51.0,0.9119856643217538,5.115647473202787
5999,264,131252.6,5,5,60,10,180,0.01893939393939394,中,11.475285171102662,60.0,84.0,0.9827923208169983,2.401200220436576
5814,269,154494.75,4,9,60,10,187,0.01486988847583643,中,11.242537313432836,60.0,91.0,0.9578006833975661,2.437589579445506
5411,299,145852.08,4,7,58,10,208,0.013377926421404682,中,10.110738255033556,60.0,62.0,0.9726157531903491,2.308606342765277
5211,302,151863.84,4,8,59,10,207,0.013245033112582781,中,9.93687707641196,60.0,59.0,0.859745419203008,4.86748651916918
5691,288,159056.83,4,11,60,10,206,0.013888888888888888,中,10.491289198606271,60.0,62.0,0.957589518632521,2.7297912491943306
5541,298,156102.62,3,4,58,10,197,0.010067114093959731,中,10.168350168350168,60.0,59.0,0.9749611803531302,3.616234226807167
4111,324,167349.3,2,9,60,10,211,0.006172839506172839,低,9.365325077399381,60.0,52.0,0.8836133831636438,2.376030074859971
5812,302,143391.73,2,7,59,10,210,0.006622516556291391,低,10.053156146179402,60.0,54.0,0.9000022723727628,2.9520147023569066
