city,总交易次数,总金额,欺诈次数,可疑次数,唯一商户,唯一地区,唯一设备,欺诈率,风险等级,平均间隔小时,最小间隔分钟,最大交易间隔,间隔变异系数,金额波动率
郑州,313,205811.98,87,6,60,10,214,0.2779552715654952,极高,9.701923076923077,60.0,51.0,0.9327974575550037,2.2226600217355976
成都,288,162753.98,87,4,59,10,196,0.3020833333333333,极高,10.505226480836237,60.0,57.0,0.9287214475843197,4.48181550077169
深圳,302,160455.57,85,11,59,10,206,0.2814569536423841,极高,10.039867109634551,60.0,61.0,0.9876190276069902,2.0715885779686345
杭州,289,141465.88,85,2,59,10,199,0.29411764705882354,极高,10.493055555555555,60.0,102.0,1.08277789735531,2.7674087624680586
上海,314,167500.38,79,7,59,10,208,0.2515923566878981,极高,9.575079872204473,60.0,50.0,0.9008264335203497,3.770750111172363
武汉,293,126513.76,75,3,59,10,202,0.25597269624573377,极高,10.321917808219178,60.0,62.0,0.9141650934740237,3.380210426780297
广州,299,151743.92,75,3,60,10,208,0.2508361204013378,极高,10.080536912751677,60.0,58.0,0.9517829030178376,2.633346620294588
青岛,323,146645.37,74,8,60,10,209,0.22910216718266255,极高,9.354037267080745,60.0,45.0,0.8906405619996914,2.9749667192626075
北京,310,156941.13999999998,71,6,60,10,210,0.22903225806451613,极高,9.754045307443366,60.0,54.0,0.9657265834507411,2.6703934913318648
南京,269,140328.78,63,3,59,10,190,0.2342007434944238,极高,11.119402985074627,60.0,59.0,0.8830505250451277,2.740831513881158
