merchant_id,总交易次数,总金额,欺诈次数,可疑次数,唯一商户,唯一地区,唯一设备,欺诈率,风险等级,平均间隔小时,最小间隔分钟,最大交易间隔,间隔变异系数,金额波动率
M452737,57,22655.04,24,1,1,10,54,0.42105263157894735,极高,52.30357142857143,60.0,182.0,0.9068418513964098,3.111117094914166
M110644,58,24866.7,23,0,1,10,54,0.39655172413793105,极高,51.14035087719298,60.0,188.0,0.8952811838393024,1.3688717639374646
M947458,65,43037.42,20,0,1,10,62,0.3076923076923077,极高,45.65625,60.0,229.0,1.049066784169849,1.2014491850961821
M618317,51,42258.770000000004,20,2,1,10,51,0.39215686274509803,极高,58.84,120.0,402.0,1.1387425637680277,4.522915694718856
M647091,51,18642.81,18,2,1,10,50,0.35294117647058826,极高,58.2,120.0,255.0,0.9356013910046164,1.5792643439875664
M682144,54,43850.42,18,1,1,10,53,0.3333333333333333,极高,54.0,120.0,211.0,1.017864332775586,4.170511815710839
M392477,45,18585.53,18,1,1,10,41,0.4,极高,68.47727272727273,120.0,219.0,0.7569064831535766,1.7980745800505378
M841666,60,32942.65,18,0,1,10,56,0.3,极高,50.152542372881356,60.0,189.0,0.9157718201045638,1.899041212596229
M189771,50,28353.65,18,0,1,10,48,0.36,极高,59.42857142857143,240.0,330.0,1.1913839821333838,1.6053295172624906
M381433,63,29181.59,17,0,1,10,61,0.2698412698412698,极高,48.17741935483871,120.0,252.0,1.141353935002385,2.4476109224897575
M353080,54,17356.17,17,0,1,10,47,0.3148148148148148,极高,56.905660377358494,120.0,219.0,0.8749441196526138,2.2313900237551434
M383201,57,27377.53,17,1,1,10,54,0.2982456140350877,极高,51.57142857142857,60.0,305.0,1.0825298406738728,1.9181182642221621
M739979,67,35092.3,17,1,1,10,63,0.2537313432835821,极高,45.36363636363637,60.0,148.0,0.8619525688348019,4.163452095211876
M855053,56,38243.49,16,1,1,10,56,0.2857142857142857,极高,53.67272727272727,60.0,270.0,1.1054597234349988,2.6248817237425173
M866536,59,24862.48,16,1,1,10,56,0.2711864406779661,极高,49.689655172413794,60.0,221.0,1.0342717945633972,2.501573498818615
M370902,52,20567.73,16,0,1,10,47,0.3076923076923077,极高,58.470588235294116,60.0,385.0,1.0870826841555574,2.155002475925989
